93352,2015-10-23,2016-10-18 07:15:54 -0500,Thailand,Bahrain,01:00:00,769432,1
26909,2015-11-27,2016-10-16 07:51:08 -0500,United Kingdom,Holy See (Vatican City State),06:00:00,466450,6
48369,2015-09-22,2016-10-25 11:13:48 -0500,Canada,France,03:00:00,348147,3
40666,2015-10-24,2016-10-21 07:07:03 -0500,Dominican Republic,Bermuda,06:00:00,171908,6
26408,2015-09-01,2016-11-01 11:49:59 -0600,Cape Verde,Eritrea,01:00:00,605894,1
17024,2015-06-21,2016-10-21 09:02:36 -0500,Lebanon,Micronesia,04:00:00,331862,4
69611,2015-12-12,2016-10-17 08:36:10 -0500,Sierra Leone,Uzbekistan,04:00:00,630022,4
55792,2015-08-19,2016-10-26 08:16:46 -0500,Lithuania,Lithuania,06:00:00,344579,6
31578,2015-12-17,2016-11-02 07:55:01 -0600,Saint Pierre and Miquelon,Palau,02:00:00,140790,2
91268,2015-09-18,2016-10-14 08:40:01 -0500,Chad,Iran,03:00:00,876343,3
69855,2015-07-07,2016-10-30 11:54:15 -0600,Monaco,Saint Martin,01:00:00,502817,1
22235,2015-11-06,2016-10-17 09:52:04 -0500,Zimbabwe,Turks and Caicos Islands,01:00:00,275579,1
79543,2015-08-19,2016-11-03 10:01:28 -0600,Cook Islands,United Kingdom,05:00:00,587952,5
25948,2015-09-23,2016-10-17 06:12:57 -0500,Bermuda,Canada,01:00:00,639786,1
21250,2015-05-03,2016-10-25 11:32:11 -0500,United States Minor Outlying Islands,United States of America,05:00:00,965543,5
90376,2015-07-09,2016-10-21 09:03:40 -0500,Marshall Islands,Malawi,05:00:00,934407,5
87195,2015-10-02,2016-10-28 06:55:50 -0500,Bermuda,Nicaragua,03:00:00,942721,3
16196,2015-02-20,2016-10-29 10:12:32 -0500,Senegal,Western Sahara,07:00:00,207842,7
12112,2015-02-27,2016-11-02 09:20:56 -0600,Netherlands Antilles,Kuwait,07:00:00,495394,7
61524,2015-02-04,2016-10-17 08:03:11 -0500,Peru,French Polynesia,05:00:00,161523,5
58241,2015-06-26,2016-10-19 09:32:15 -0500,Guinea,United Kingdom,03:00:00,255885,3
53065,2015-10-22,2016-10-30 08:21:47 -0600,Sao Tome and Principe,France,04:00:00,856616,4
95699,2015-11-14,2016-10-25 08:31:25 -0500,Namibia,Palau,07:00:00,806390,7
94740,2015-02-03,2016-10-31 10:19:52 -0600,Heard Island and McDonald Islands,Reunion,02:00:00,149098,2
93099,2015-10-10,2016-10-21 06:38:35 -0500,Northern Mariana Islands,Botswana,02:00:00,761267,2
95019,2015-05-04,2016-10-15 11:18:37 -0500,Peru,Indonesia,05:00:00,831027,5
18625,2015-06-01,2016-10-16 07:51:12 -0500,Rwanda,Vietnam,03:00:00,870616,3
58618,2015-12-13,2016-10-12 10:17:13 -0500,Cayman Islands,Ghana,04:00:00,670567,4
56736,2015-11-17,2016-10-14 08:08:23 -0500,Cambodia,Bermuda,01:00:00,306700,1
98043,2015-03-02,2016-10-31 10:30:07 -0600,Uganda,Cook Islands,07:00:00,541042,7
49955,2015-08-06,2016-10-22 10:38:14 -0500,India,Cayman Islands,05:00:00,275793,5
61900,2015-09-17,2016-10-16 09:00:03 -0500,Norfolk Island,Montenegro,06:00:00,237788,6
39357,2015-03-29,2016-10-25 10:11:09 -0500,Western Sahara,Kuwait,03:00:00,537730,3
24802,2015-06-14,2016-10-21 09:33:52 -0500,Libyan Arab Jamahiriya,Venezuela,01:00:00,299775,1
27159,2015-05-07,2016-10-25 09:21:25 -0500,Faroe Islands,Norfolk Island,02:00:00,522082,2
42782,2015-01-22,2016-11-03 10:12:24 -0600,Saint Helena,Tonga,07:00:00,530124,7
49820,2015-06-10,2016-11-03 06:58:44 -0600,Bermuda,Antarctica (the territory South of 60 deg S),07:00:00,122753,7
36733,2015-07-22,2016-10-12 10:12:08 -0500,Haiti,Congo,03:00:00,764026,3
47191,2015-10-07,2016-10-21 09:33:14 -0500,Heard Island and McDonald Islands,Croatia,06:00:00,164364,6
57576,2015-06-04,2016-10-17 08:04:07 -0500,Mauritania,Zimbabwe,04:00:00,783051,4
78868,2015-06-27,2016-10-21 06:30:42 -0500,Iceland,New Caledonia,07:00:00,777175,7
19328,2015-06-15,2016-10-25 11:50:08 -0500,Montenegro,Chad,05:00:00,322032,5
23865,2015-02-09,2016-10-16 08:21:57 -0500,Germany,Botswana,01:00:00,712054,1
91408,2015-08-14,2016-11-02 07:40:49 -0600,Tanzania,Oman,02:00:00,970787,2
14819,2015-04-17,2016-10-23 07:18:55 -0500,Nauru,Cook Islands,01:00:00,410599,1
65238,2015-12-17,2016-10-22 06:42:22 -0500,Ecuador,Jordan,02:00:00,223787,2
52235,2015-02-14,2016-10-28 11:10:00 -0500,Saint Kitts and Nevis,Qatar,02:00:00,424445,2
49237,2015-02-04,2016-10-12 09:25:39 -0500,Guadeloupe,Singapore,06:00:00,811417,6
25729,2015-05-27,2016-10-21 06:17:42 -0500,Belarus,Turks and Caicos Islands,04:00:00,165127,4
86628,2015-05-20,2016-11-03 06:58:20 -0600,Sudan,Lebanon,07:00:00,157632,7
